Latin;Status;Current;Mnemonic;Family;Authority;Notes
Carica cauliflora;Obsolete;Vasconcellea cauliflora;carica;Caricaceae;;Croat’s name for the wild species of papaya, but now moved to genus Vasconcellea (Badillo 2000 in Ernstia). It was not found in the 50-ha until 2010, but we identified in other plots in the 1990s and used this old name then.
Casearia aculeata;Accepted;Casearia aculeata;caseac;Salicaceae;Jacq.;
Casearia arborea;Accepted;Casearia arborea;casear;Salicaceae;(Rich.) Urb.;
Casearia commersoniana;Accepted;Casearia commersoniana;caseco;Salicaceae;Cambess.;
Casearia guianensis;Accepted;Casearia guianensis;casegu;Salicaceae;(Aubl.) Urb.;
Casearia sylvestris;Accepted;Casearia sylvestris;casesy;Salicaceae;Sw.;
Cassia fruticosa;Obsolete;Senna dariensis;sennda;Fabaceae-caesalpinioideae;;Croat's name, and we used it in 1982. Irwin and Barneby 1982 split Cassia into 3 genera, including Senna, and we had switched to S. dariensis by the late 1980s. Reviewed in Marazzi, with DNA phylogeny confirming monophyly of Senna. Croat indicates two forms on BCI but not distinct, one named C. f. var. gatunensis. 
Cassipourea elliptica;Accepted;Cassipourea elliptica;cassel;Rhizophoraceae;(Sw.) Poir.;
Cavanillesia platanifolia;Accepted;Cavanillesia platanifolia;cavapl;Malvaceae;(Bonpl.) Kunth;
Cecropia insignis;Accepted;Cecropia insignis;cecrin;Urticaceae;Liebm.;
Cecropia longipes;Accepted;Cecropia longipes;cecrlo;Urticaceae;Pittier;Included in Croat but did not appear in the 50-ha plot until 1995 census, so does not appear in 1996 paper.
Cecropia obtusifolia;Accepted;Cecropia obtusifolia;cecrob;Urticaceae;Bertol.;
Cedrela odorata;Accepted;Cedrela odorata;cedrod;Meliaceae;L.;
Ceiba pentandra;Accepted;Ceiba pentandra;ceibpe;Malvaceae;(L.) Gaertn.;
Celtis schippii;Accepted;Celtis schippii;celtsc;Cannabaceae;Standl.;
Cespedesia macrophylla;Obsolete;Cespedesia spathulata;cespma;Ochnaceae;;Croat's used this name, but he misspelled it Cespedezia macrophylla. Now lumped under C. spathulata. BCI specimens at Tropicos reidentified as C. spathulata in 1992 (Liesner).
Cespedesia spathulata;Accepted;Cespedesia spathulata;cespma;Ochnaceae;(Ruiz & Pav.) Planch.;Formerly C. macrophylla. Cespedesia now considered monotypic, with nine names united under one widespread species. See Fl. Nic. We used the old species name, macrophylla, and Croat’s misspelling of the genus, so published this under Cespedezia macrophylla in both 1996 and 2004 papers.
Cespedezia macrophylla;Obsolete;Cespedesia spathulata;cespma;Ochnaceae;;Croat used this incorrect spelling of Cespedesia macrophylla. We repeated the error in both 1996 and 2004 papers. On top of that, the species epithet was changed to C. spathulata (by 1992 at Tropicos, in 2001 Flora Nic), but we didn’t update our database until after 2004. 
Cestrum megalophyllum;Obsolete;Cestrum schlechtendahlii;cestme;Solanaceae;Dunal;Croat's name and we used in 1996 and 2004 papers. M. Nee (pers. comm.) and Hensold indicate this is a synonym of C. schlechtendahlii. Tropicos agrees. Must check published names (Knapp, Man CR??). Nee reidentified all Croat's BCI specimens as C. schlechtendahlii in 2013. 
Cestrum racemosum;Accepted;Cestrum racemosum;cestra;Solanaceae;Ruiz & Pav.;Croat included this taxon, but it did not appear in the 50-ha plot until the 2015 census.
Cestrum schlechtendahlii;Accepted;Cestrum schlechtendahlii;cestme;Solanaceae;G.Don;We originally followed Croat and used C. megalophyllum in 1996 and 2004 papers. Nee reidentified all Croat's BCI specimens as C. schlechtendahlii in 2013. This is a question of name priority for same species circumpscription?? See Manual CR. 
Chamaedorea tepejilote;Accepted;Chamaedorea tepejilote;cha1te;Arecaceae;Liebm.;Formerly C. wendlandiana, but we switched by the 1996 paper. Lumped by Henderson (1997).
Chamaedorea wendlandiana;Obsolete;Chamaedorea tepejilote;cha1te;Arecaceae;;Croat's original name, and we used it at the outset. By 1996 paper, we had changed to C. tepejilote. Henderson (1997) collapsed several tax into C. tepejilote.
Chamguava schippii;Accepted;Chamguava schippii;cha2sc;Myrtaceae;(Standl.) Landrum;"A small group of 3 rare C. American species, formerly Eugenia, moved to Psidium in 1963, and we initially used Croat’s name, Psidium anglohondurense. The new genus Chamguava was erected in 1991 by Landrum based on embryological details that separate it from Psidium; Chamguava is in a small group with Pimenta. The BCI population is the only one known s. of Guatemala, and one of 3 species only seen 3 times in the 1940s. No change in species boundaries. Huge DNA phylogeny (2015) does not include Chamguava, presumably due to rarity."
Chimarrhis parviflora;Accepted;Chimarrhis parviflora;chimpa;Rubiaceae;Standl.;
Chlorophora tinctoria;Obsolete;Maclura tinctoria;maclti;Moraceae;;Currently Maclura tinctoria, following Berg (2001). The two genus names, Chorophora and Maclura, were used in parallel during the 19th century for the species tinctoria. It was after 1962 that Chlorophora was finally and permanently moved under Maclura. Berg (2001) summarizes. Croat did not have this species under either name. D'Arcy used Chlorophora.
Chrysochlamys eclipes;Accepted;Chrysochlamys eclipes;chr1ec;Clusiaceae;L.O.Williams;We originally followed Croat and used T. nicaraguensis, but now corrected to Chrysochlamys eclipses. We had switched to C. eclipes by 1996 paper, so no publication uses old name. See notes for T. nicaraguensis and Hammel (1999).
Chrysophyllum argenteum;Accepted;Chrysophyllum argenteum;chr2ar;Sapotaceae;Jacq.;We used this name by 1996 and 2004 papers. In Croat, this was Cynodendron panamense, but Pennington (1990) lumped several species under C. argenteum as a subspecies. The name Chrysophyllum panamense has also been used, but never in our data.
Chrysophyllum cainito;Accepted;Chrysophyllum cainito;chr2ca;Sapotaceae;L.;Pennington (1990) is certain this is not native to Panama.
Chrysophyllum panamense;Obsolete;Chrysophyllum argenteum;chr2ar;Sapotaceae;;Synonym of Cynodendron panamense that we used briefly in 1980s. This became C. argenteum subsp. panamense in Pennington's monograph (1990), and we used Chr. argenteum in all publications.
Cinnamomum triplinerve;Accepted;Cinnamomum triplinerve;phoeci;Lauraceae;(Ruiz & Pav.) Kosterm.;This was formerly Phoebe cinnamomifolia, and appeared as such in 1996 and 2004 papers. Croat called in P. mexicanum. See Fl. Nic.
Clidemia dentata;Accepted;Clidemia dentata;clidde;Melastomataceae;Pav. ex D. Don;Clidemia is now moved within Miconia, but names are not yet transferred as of 2017.
Clidemia octona;Accepted;Clidemia octona;clidoc;Melastomataceae;(Bonpl.) L.O. Williams;Clidemia is now moved within Miconia, but names are not yet transferred as of 2017.
Clidemia septuplinervia;Accepted;Clidemia septuplinervia;clidse;Melastomataceae;Cogn.;Clidemia is now moved within Miconia, but names are not yet transferred as of 2017.
Cnemidaria petiolata;Obsolete;Cyathea petiolata;cnempe;Cyatheaceae;;Genus Cnemidaria collapsed into much larger Cyathea.
Coccoloba coronata;Accepted;Coccoloba coronata;coccco;Polygonaceae;Jacq.;
Coccoloba manzanillensis;Obsolete;Coccoloba manzinellensis;coccma;Polygonaceae;;This is Croat's misspelling of C. manzinellensis. We propagated the misspelling in the 1996 paper, but corrected it by the 2004 paper.
Coccoloba manzinellensis;Accepted;Coccoloba manzinellensis;coccma;Polygonaceae;Beurl.;We spelled this incorrectly in 1996, copying Croat's error C. manzanellensis. We propagated the misspelling in the 1996 paper, but corrected it by the 2004 paper.
Cojoba rufescens;Accepted;Cojoba rufescens;pit1ru;Fabaceae-mimosoideae;(Benth.) Britton & Rose;Formerly Pithecellobium rufescens, and appears as such in 1996 paper. But Pithecellobium was an enormously broad mix of of many taxa. Barnebey and Grimes (1996) did a detailed phylogeny of Ingeae, many of which (except Inga and Calliandra) were once Pithecellobium. Cojoba is related to Inga and Calliandra according to Barneby and Grimes. The genus revisions do not alter species boundaries here. 
Colubrina glandulosa;Accepted;Colubrina glandulosa;colugl;Rhamnaceae;Perkins;
Conostegia bracteata;Accepted;Conostegia bracteata;conobr;Melastomataceae;Triana;
Conostegia cinnamomea;Accepted;Conostegia cinnamomea;conoci;Melastomataceae;(Beurl.) Wurdack;
Cordia alliodora;Accepted;Cordia alliodora;cordal;Cordiaceae;(Ruiz & Pav.) Oken;
Cordia bicolor;Accepted;Cordia bicolor;cordbi;Cordiaceae;A.DC.;
Cordia lasiocalyx;Accepted;Cordia lasiocalyx;cordla;Cordiaceae;Pittier;
Coussarea curvigemmia;Accepted;Coussarea curvigemmia;cou2cu;Rubiaceae;Dwyer;
Coutarea hexandra;Accepted;Coutarea hexandra;couthe;Rubiaceae;(Jacq.) K.Schum.;
Crematosperma garwoods;Obsolete;Mosannona garwoodii;malmsp;Annonaceae;;One name used in some early databases for the new Annonaceae, christened finally as a novel species, Mosannona garwoodii. Croat thought it was a novel Cremastosperma.
Crematosperma sp.;Obsolete;Mosannona garwoodii;malmsp;Annonaceae;;Croat mentions this species as rare, citing a Garwood and Foster specimen, and likely new to science, but he misspelled the genus. It turned out to be very common in the 50-ha plot. We published as Malmea sp. nov. in 1996, then the final Mosannona garwoodii in 2004.
Croton billbergianus;Accepted;Croton billbergianus;crotbi;Euphorbiaceae;Müll.Arg.;
Cupania cinerea;Accepted;Cupania cinerea;cupaci;Sapindaceae;Poepp.;
Cupania latifolia;Accepted;Cupania latifolia;cupala;Sapindaceae;Kunth;
Cupania rufescens;Accepted;Cupania rufescens;cuparu;Sapindaceae;Triana & Planch.;
Cupania seemannii;Accepted;Cupania seemannii;cupasy;Sapindaceae;Triana & Planch.;Seemann himself named it C. sylvatica in 1853 (Voyage of the Heald), however in 1862 Triana and Planch changed to C. seemanni saying C. sylvatica was already in use for a Brazilian specimen. But Croat used the old C. sylvatica, though he indicated C. seemannii as a synonym.
Cupania sylvatica;Obsolete;Cupania seemannii;cupasy;Sapindaceae;;Croat used this name, and we used it in 1996 and 2004 papers. But this was wrong, and C. seemannii has been valid for 150 years.
Cyathea petiolata;Accepted;Cyathea petiolata;cnempe;Cyatheaceae;(Hook.) R.M. Tryon;DNA phylogenies of tree ferns rearranged much traditional taxonomy. Cnemidaria is nested within Cyathea. No change species boundary.
Cynodendron panamense;Obsolete;Chrysophyllum argenteum;chr2ar;Sapotaceae;(Pittier) Aubrév.;Croat's name, but we had switched to Chrysophyllum panamense by start of 50-ha plot. Yet another taxonomic revision followed, and this appears as Chrysophyllum argenteum in 1996 and 2004 papers. Pennington (1990) placed Cynodendron within Chrysophyllum. Older treatments of Sapotaceae have gone back and forth on this, indeed, Croat lists Chrysophyllum panamense as a synonym. Morever, Pennington moved C. panamense under the widely distributed Chrysophyllum argenteum.
Cyphomandra hartwegii;Obsolete;Solanum circinatum;cyphha;Solanaceae;;Croat’s name, we used it through the 1996 paper. Now known as Solanum circinatum. Bohs (1995) collapsed entire genus Cyphomandra into Solanum with no changes in species boundaries. 
Damburneya umbrosa;Accepted;Damburneya umbrosa;nectpu;Lauraceae;(Kunth) Trofimov;One group of Nectandra now split into this genus, an old name that had been subsumed into Nectandra, now resurrected on molecular results. This was originally Nectandra purpurea, reidentified as N. umbrosa, but the latter never go into the database (for BCI specimens, but yes for one at Sherman) or any publication. 
Dendropanax arboreus;Accepted;Dendropanax arboreus;dendar;Araliaceae;(L.) Decne. & Planch.;What we currently call all Dendropanax in the 50-ha plot, but variation may require 4 species. Some D. arboreus at BCI now recognized as D. caucanus by Cannon, or D. concinnus by N. Hensold (the latter not valid according to Tropicos). See Cannon and Cannon (1989) about variability of widespread D. arboreus, and Hensold suggests hybridization or introgression might be blurring boundaries. The group requires revision, and individuals within the plot may need to be divided. Garwood supports a division of Croat's D. arboreus into D. caucanus and D. arboreus. See also notes with D. stenodontus about yet another possible taxon.
Dendropanax stenodontus;Obsolete;Dendropanax arboreus;dendst;Araliaceae;;Croat's key indicates differences between this and D. arboreus (adult size, leaf dentition), and Foster originally separated many individuals under this name. In 1996 paper, both D. stenodontus and D. arboreus appear. After that, we lumped all under D. arboreus. Cannon and Cannon are inconclusive about whether there might be a small-stature species, but D. stenodontus would not be the correct name. Possibly D. maritimus.
Desmopsis panamensis;Accepted;Desmopsis panamensis;des2pa;Annonaceae;(B.L.Rob.) Saff.;
Didymopanax morototoni;Obsolete;Schefflera morototoni;sch2mo;Araliaceae;;The name in Croat, and we used this at the very beginning of the 50-ha censuses. Now Schefflera morotoni, and we had made the change by the late 1980s. The entire genus Didymopanax was collapsed into Schefflera (Frodin 1975), which is interestingly prior to the date of Croat's book.
Diospyros artanthifolia;Accepted;Diospyros artanthifolia;dio2ar;Ebenaceae;Mart. ex Miq.;
Dipteryx oleifera;Accepted;Dipteryx oleifera;diptpa;Fabaceae-papilionoideae;Benth.;Formerly D. panamensis. The two names appear to be used interchangeably for a species collected from Nicaragua through the Colombian choco, plus one in Ecuador. At Tropicos, de Lima named BCI specimens D. oleifera in 1986, but Klitgaard renamed D. panamensis in 2007. D. oleifera is the early name, but without specimens. The rules committee voted to accept it (Brummitt 2011).
Dipteryx panamensis;Obsolete;Dipteryx oleifera;diptpa;Fabaceae-papilionoideae;;Croat's name, and we used it in 1996 paper. We have now switched to D. oleifera, though Fl Meso online is back to D. panamensis. Zamora (2010) uses D. panamensis but adds that D. oleifera might be correct.
Drypetes standleyi;Accepted;Drypetes standleyi;drypst;Putranjivaceae;G.L.Webster;
Elaeis oleifera;Accepted;Elaeis oleifera;elaeol;Arecaceae;(Kunth) Cortés;
Enterolobium schomburgkii;Accepted;Enterolobium schomburgkii;entesc;Fabaceae-mimosoideae;(Benth.) Benth.;
Erythrina costaricensis;Accepted;Erythrina costaricensis;ery1co;Fabaceae-papilionoideae;Micheli;
Erythroxylum macrophyllum;Accepted;Erythroxylum macrophyllum;ery2ma;Erythroxylaceae;Cav.;Formerly E. multiflorum, a name from Canal Area in 1940. Plowman synonomized it and other local names under the widespread and variable E. macrophyllum. See also Hammel et al (2010) treating E. multiflorum under this. Appendix of 1996 paper failed to list E. multiflorum as Croat’s name for this taxa.
Erythroxylum multiflorum;Obsolete;Erythroxylum macrophyllum;ery2ma;Erythroxylaceae;;Croat’s name, but we had switched to E. macrophyllum in 1996 and 2004 papers, following Plowman1991. But Plowman acknowledges that E. multiflorum is distinctive, close to E. macrophyllum skutchii in Costa Rica and two other large-leaved subspecies of E. macrophyllum in S. America.
Erythroxylum panamense;Accepted;Erythroxylum panamense;ery2pa;Erythroxylaceae;Turcz.;
Eugenia coloradensis;Obsolete;Eugenia coloradoensis;eugeco;Myrtaceae;;Croat's misspelling of E. coloradoensis. We repeated in 1996 paper but corrected in 2004.
Eugenia coloradoensis;Accepted;Eugenia coloradoensis;eugeco;Myrtaceae;Standl.;
Eugenia galalonensis;Accepted;Eugenia galalonensis;eugega;Myrtaceae;(C.Wright ex Griseb.) Krug & Urb.;
Eugenia nesiotica;Accepted;Eugenia nesiotica;eugene;Myrtaceae;Standl.;
Eugenia oerstedeana;Obsolete;Eugenia oerstediana;eugeoe;Myrtaceae;;Croat’s misspelling of E. oerstediana, which we repeated in the 1996 paper.
Eugenia oerstediana;Accepted;Eugenia oerstediana;eugeoe;Myrtaceae;O.Berg;This was listed under Croat’s misspelling, E. oerstedeana, in the 1996 paper.
Faramea occidentalis;Accepted;Faramea occidentalis;faraoc;Rubiaceae;(L.) A.Rich.;
Ficus aurea;Obsolete;Ficus trigonata;ficutr;Moraceae;Nutt.;"We used F. trigonata at least until 1996 paper, but F. aurea replaced it. This is a mistake; it's the Florida species and is not known on BCI (but is in western Panama). "
Ficus bullenei;Obsolete;Ficus matiziana;ficubu;Moraceae;I.M.Johnst.;Croat’s name, and we used it 1996 and 2004 papers. Berg (2009) synonomized with F. matiziana, a S. American species. Garwood (2009) continued with F. bullenei.
Ficus citrifolia;Accepted;Ficus citrifolia;ficuci;Moraceae;Mill.;
Ficus colubrinae;Accepted;Ficus colubrinae;ficuc1;Moraceae;Standl.;
Ficus costaricana;Accepted;Ficus costaricana;ficuc2;Moraceae;(Liebm.) Miq.;
Ficus insipida;Accepted;Ficus insipida;ficuin;Moraceae;Willd.;
Ficus matiziana;Accepted;Ficus matiziana;ficubu;Moraceae;Dugand;Formerly F. bullenei, following Croat, and appearing under that name in 1996 and 2004 papers. Garwood (2009) retained F. bullenei.
Ficus maxima;Accepted;Ficus maxima;ficuma;Moraceae;Mill.;
Ficus obtusifolia;Accepted;Ficus obtusifolia;ficuob;Moraceae;Kunth;
Ficus pertusa;Accepted;Ficus pertusa;ficupe;Moraceae;L.f.;
Ficus popenoei;Accepted;Ficus popenoei;ficupo;Moraceae;Standl.;
Ficus tonduzii;Accepted;Ficus tonduzii;ficuto;Moraceae;Standl.;
Ficus trigonata;Accepted;Ficus trigonata;ficutr;Moraceae;L.;"Croat’s name and ours originally for the 50-ha plot, appearing in 1996 paper (though mispelled as F. trigonta). We then mistakely listed as F. aurea for several years. Garwood uses trigonata, but indicates a complex of distinct types. However, now Berg says Panama specimens should be F. crocata and that F. trigonata is restricted to the Antilles; he describes variation in detail."
Ficus trigonta;Obsolete;Ficus trigonata;ficutr;Moraceae;;A publishing typo for F. trigonata in our 1996 paper.
Ficus yoponensis;Accepted;Ficus yoponensis;ficuyo;Moraceae;Desv.;
Garcinia intermedia;Obsolete;Garcinia recondita;gar2in;Clusiaceae;(Pittier) Hammel;Croat used the old name Rheedia edulis. Became Garcinia intermedia after Hammel (1989), who summarized various studies showing that Rheedia cannot be separated from Garcinia. As of 2015, however, G. intermedia at BCI was moved to G. recondita (see notes there).
Garcinia madruno;Accepted;Garcinia madruno;gar2ma;Clusiaceae;(Kunth) Hammel;Formerly R. acuminata. See notes for G. intermedia and Hammel (1989). We had switched before 1996, so this is in 1996 and 2004 papers.
Garcinia recondita;Accepted;Garcinia recondita;gar2in;Clusiaceae;Hammel;Hammel described this species around 2015, though still not published (Hammel pers. comm.). All BCI specimens of R. edulis/G. intermedia now identified at Tropicos as G. recondita, but G. intermedia remains valid elsewhere in Panama.
Genipa americana;Accepted;Genipa americana;geniam;Rubiaceae;L.;
Geonoma interrupta;Accepted;Geonoma interrupta;geonin;Arecaceae;(Ruiz & Pav.) Mart.;
Guapira standleyana;Accepted;Guapira standleyana;guapst;Nyctaginaceae;Woodson;We misspelled this G. standleyanum in the 1996 paper, copying the error from Croat.
Guapira standleyanum;Obsolete;Guapira standleyana;guapst;Nyctaginaceae;;We used this misspelling from Croat for many years, and the name is spelled wrong in the 1996 paper. It should be G. standleyana.
